syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
sueɪ,s,ueɪ,6,中卦-dynamic,中卦-static,坎卦-dynamic,艮卦-dynamic + 中卦-dynamic,坎卦-dynamic + 中卦-dynamic,中卦-dynamic,random usually follow different evening scan interesting type,跟隨(follow) 隨機(random) 隨意(casual) 骨髓(marrow) 隧道(tunnel) 雖然(although)
tueɪ,t,ueɪ,2,中卦-dynamic,坤卦-static,艮卦-dynamic,艮卦-dynamic + 中卦-dynamic,中卦-dynamic + 震卦-static,坤卦-static + 艮卦-dynamic,pile pair two three bag four throw six,堆積(pile) 一對(pair)
tʰueɪ,tʰ,ueɪ,4,震卦-static,震卦-dynamic,艮卦-dynamic,震卦-static + 震卦-dynamic,艮卦-dynamic + 震卦-static,震卦-static,leg heel thigh knee arm toe foot ankle,推(push) 腿(leg) 大腿(thigh) 手推車(cart)
t͡sueɪ,t͡s,ueɪ,10,坤卦-dynamic,坤卦-static,兌卦-static,坤卦-dynamic + 兌卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 乾卦-static,least last time half only month first minimum,有罪(guilty) 醉(drunk) 最多(most) 最少(least) 最後(last) 嘴(mouth) 最大(maximum) 最小(minimum) 最近(recently) 最後(finally)
t͡sʰueɪ,t͡sʰ,ueɪ,1,艮卦-static,離卦-static,坎卦-static,艮卦-static + 中卦-static,中卦-static + 離卦-static,艮卦-static + 離卦-static,crust dough pancake apple_pie cheese cheesecake layer melt,脆皮(crust)
xueɪ,x,ueɪ,14,艮卦-dynamic,巽卦-dynamic,坤卦-static,坤卦-static + 艮卦-dynamic,坤卦-dynamic + 巽卦-dynamic,坤卦-static + 巽卦-dynamic,ruin regret dream chance wedding church return shadow,返回(return) 破壞(ruin) 壞(bad) 灰色(gray) 灰塵(dust) 灰(ash) 音樂會(concert) 後悔(regret) 機會(chance) 社會(society) 回廊(cloister) 教會(church)
ɻueɪ,ɻ,ueɪ,1,乾卦-dynamic,中卦-static,中卦-dynamic,中卦-static + 乾卦-dynamic,中卦-dynamic + 乾卦-dynamic,艮卦-static + 乾卦-dynamic,sharp blunt precise razor knife rough stab bright,尖銳(sharp)
ʂueɪ,ʂ,ueɪ,17,巽卦-dynamic,艮卦-static,兌卦-dynamic,艮卦-static + 巽卦-dynamic,坤卦-static + 巽卦-dynamic,巽卦-dynamic + 震卦-static,water spill drip drain pool flood tap pour,稅(tax) 睡(sleep) 潛水(dive) 排水(drain) 誰(who) 水果(fruit) 水仙(daffodil) 汗水(sweat) 水(water) 露水(dew) 洪水(flood) 水池(pool)
ʈ͡ʂueɪ,ʈ͡ʂ,ueɪ,4,坎卦-static,乾卦-dynamic,離卦-dynamic,艮卦-static + 乾卦-dynamic,離卦-dynamic + 乾卦-dynamic,震卦-static + 乾卦-dynamic,army team firefighter orchestra soldier teacher actor student,樂隊(orchestra) 團隊(team) 軍隊(army) 消防隊員(firefighter)
ʈ͡ʂʰueɪ,ʈ͡ʂʰ,ueɪ,3,艮卦-dynamic,坎卦-dynamic,兌卦-dynamic,艮卦-dynamic + 坎卦-dynamic,艮卦-dynamic,艮卦-dynamic + 兌卦-dynamic,hammer blow axe steel spindle bend metal swing,吹(blow) 錘子(hammer) 紡錘(spindle)
ueɪ,∅,ueɪ,23,坎卦-dynamic,坎卦-static,艮卦-dynamic,坎卦-static + 坎卦-dynamic,艮卦-dynamic + 坎卦-static,艮卦-static + 坎卦-dynamic,fly affect plane thing mushroom around close catch,成為(become) 微笑(smile) 威脅(threaten) 餵食(feed) 危險(dangerous) 為什麽(why) 刺猬(hedgehog) 微生物(germ) 鳶尾(iris) 蘆葦(reed) 威士忌酒(whiskey) 雞尾酒(cocktail)
kuɑ,k,uɑ,6,兌卦-dynamic,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,離卦-dynamic + 兌卦-dynamic,巽卦-static + 兌卦-dynamic,melon watermelon pineapple tomato cucumber pumpkin mango pear,掛(hang) 寡婦(widow) 瓜(melon) 西瓜(watermelon) 黃瓜(cucumber) 南瓜(pumpkin)
kʰuɑ,kʰ,uɑ,1,艮卦-static,兌卦-dynamic,乾卦-static,艮卦-static + 乾卦-static,兌卦-dynamic + 乾卦-static,震卦-dynamic + 乾卦-static,boast wide praise abundant dare attract reap feature,自誇(boast)
xuɑ,x,uɑ,27,坎卦-dynamic,離卦-dynamic,坎卦-static,坎卦-dynamic + 巽卦-static,坎卦-dynamic,巽卦-static + 離卦-dynamic,flower peony orchid lily sunflower camellia hydrangea daffodil,畫(draw) 融化(melt) 滑動(slide) 計劃(plan) 滑(smooth) 畫眉(song thrush) 無花果(fig) 西蘭花(broccoli) 菜花(cauliflower) 花(flower) 花瓣(petal) 蓮花(lotus)
ʂuɑ,ʂ,uɑ,1,巽卦-dynamic,坎卦-dynamic,艮卦-static,巽卦-dynamic + 中卦-static,艮卦-static + 巽卦-dynamic,巽卦-dynamic,brush comb rub paint fingernail stick wipe wash,刷子(brush)
ʈ͡ʂuɑ,ʈ͡ʂ,uɑ,1,巽卦-dynamic,離卦-dynamic,坤卦-static,坤卦-static + 巽卦-dynamic,巽卦-dynamic,巽卦-dynamic + 離卦-dynamic,scratch fingernail wipe paste chip roll itch tear,抓(scratch)
uɑ,∅,uɑ,5,艮卦-dynamic,離卦-dynamic,離卦-static,艮卦-dynamic + 離卦-dynamic,艮卦-dynamic + 離卦-static,離卦-static + 離卦-dynamic,doll toy sock frog puppet giraffe pillow cat,挖掘(dig) 青蛙(frog) 玩具娃娃(doll) 玩具娃娃(doll) 短襪(sock)
kuɑŋ,k,uɑŋ,4,坤卦-dynamic,艮卦-static,坤卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 震卦-static,坤卦-static + 艮卦-static,light flash screen bright bare skin ray face,光禿禿(bare) 膀胱(bladder) 光(light) 閃光(flash)
kʰuɑŋ,kʰ,uɑŋ,4,兌卦-static,坤卦-static,震卦-static,中卦-dynamic + 震卦-static,中卦-dynamic + 兌卦-static,震卦-static + 兌卦-static,case mine thing this just idea exactly story,瘋狂(crazy) 礦(mine) 框架(frame) 具體情況(case)
xuɑŋ,x,uɑŋ,6,坤卦-dynamic,坎卦-static,巽卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic,坤卦-dynamic + 坎卦-static,oriole dusk yellow egg_white yolk marigold peach daffodil,撒謊(lie) 黃色(yellow) 黃鸝(oriole) 黃瓜(cucumber) 蛋黃(yolk) 黃昏(dusk)
ʂuɑŋ,ʂ,uɑŋ,3,艮卦-static,中卦-dynamic,震卦-dynamic,艮卦-static + 中卦-dynamic,中卦-dynamic + 震卦-dynamic,艮卦-static + 震卦-dynamic,double twins frost second two queen three four,雙(double) 雙胞胎(twins) 霜(frost)
ʈ͡ʂuɑŋ,ʈ͡ʂ,uɑŋ,7,艮卦-dynamic,艮卦-static,離卦-dynamic,艮卦-static + 艮卦-dynamic,艮卦-dynamic + 離卦-static,艮卦-dynamic + 坎卦-static,shape ornament decorate design photograph monument structure bridge,裝飾(decorate) 樹樁(stump) 裝飾(ornament) 套裝(suit) 村莊(village) 形狀(shape) 碰撞(collision)
ʈ͡ʂʰuɑŋ,ʈ͡ʂʰ,uɑŋ,7,震卦-static,艮卦-static,坤卦-dynamic,坤卦-dynamic + 震卦-static,艮卦-dynamic + 震卦-static,巽卦-static + 震卦-static,bed_sheet bed floor bedroom room curtain window balcony,創造(create) 窗戶(window) 窗簾(curtain) 蹦床(trampoline) 床(bed) 床單(bed sheet) 谷倉(barn)
uɑŋ,∅,uɑŋ,14,艮卦-dynamic,坎卦-static,離卦-static,艮卦-dynamic + 坎卦-static,艮卦-dynamic + 離卦-static,艮卦-dynamic,pluto neptune prince venus saturn princess queen uranus,忘記(forget) 希望(hope) 網(net) 網絡(network) 王冠(crown) 網球(tennis) 網格(grid) 王(king) 女王(queen) 王子(prince) 望遠鏡(telescope) 天王星(uranus)
kuɔ,k,uɔ,25,坎卦-dynamic,艮卦-static,震卦-dynamic,艮卦-static + 坎卦-dynamic,坎卦-dynamic + 震卦-dynamic,艮卦-static + 震卦-dynamic,apple almond mango pear apple_pie fruit hazelnut peach,通過(pass) 包裹(wrap) 過濾(filter) 錯過(miss) 外國(foreign) 水果(fruit) 漿果(berry) 蘋果(apple) 牛油果(avocado) 芒果(mango) 火龍果(dragon fruit) 無花果(fig)
kʰuɔ,kʰ,uɔ,2,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,離卦-dynamic,坎卦-dynamic + 離卦-dynamic,艮卦-static + 離卦-dynamic,expand include develop create allow add feature continue,包括(include) 擴張(expand)
luɔ,l,uɔ,10,坎卦-static,艮卦-dynamic,乾卦-static,艮卦-dynamic + 乾卦-static,艮卦-dynamic + 坎卦-static,坎卦-static + 乾卦-static,mango carrot banana pineapple cucumber palm_tree tomato watermelon,落下(fall) 裸體(naked) 駱駝(camel) 海螺(conch) 菠蘿(pineapple) 蘿蔔(carrot) 羅勒(basil) 羅盤(compass) 網絡(network) 角落(corner)
muɔ,m,uɔ,20,中卦-static,中卦-dynamic,坎卦-static,中卦-static,中卦-static + 中卦-dynamic,艮卦-static + 中卦-static,powder magic mushroom diamond devil cream dust almond,觸摸(touch) 摩擦(rub) 磨(grind) 模糊(blurry) 陌生(strange) 芥末(mustard) 蘑菇(mushroom) 茉莉花(jasmine) 粉末(powder) 虹膜(iris) 泡沫(foam) 沙漠(desert)
nuɔ,n,uɔ,1,震卦-dynamic,離卦-dynamic,兌卦-dynamic,巽卦-dynamic + 震卦-dynamic,震卦-dynamic,震卦-dynamic + 離卦-dynamic,promise hope wait future give tomorrow advance goodbye,承諾(promise)
puɔ,p,uɔ,10,坎卦-dynamic,艮卦-static,兌卦-dynamic,坎卦-dynamic,艮卦-static + 坎卦-dynamic,坎卦-dynamic + 兌卦-dynamic,tomato avocado broccoli cabbage potato onion spinach carrot,傳播(spread) 剝離(peel) 播種(sow) 菠蘿(pineapple) 菠菜(spinach) 蘿蔔(carrot) 脖子(neck) 玻璃(glass) 簸箕(dustpan) 微波爐(microwave)
pʰuɔ,pʰ,uɔ,4,艮卦-dynamic,巽卦-dynamic,坎卦-dynamic,艮卦-dynamic + 巽卦-dynamic,艮卦-dynamic + 兌卦-static,艮卦-dynamic + 坎卦-static,ruin break broken fix die forever forgive fate,打破(break) 破壞(ruin) 破(broken) 公婆(parents-in-law)
suɔ,s,uɔ,8,艮卦-dynamic,震卦-dynamic,坎卦-dynamic,坎卦-static + 震卦-dynamic,坎卦-dynamic + 震卦-dynamic,艮卦-dynamic + 坎卦-static,pull detach where rope to according_to wrap place,收縮(shrink) 探索(explore) 所有(whole) 繩索(rope) 梭子(shuttle) 托兒所(nursery) 鎖(lock) 所以(so)
tuɔ,t,uɔ,10,乾卦-static,中卦-dynamic,坤卦-static,中卦-dynamic + 乾卦-static,艮卦-static + 中卦-dynamic,坤卦-dynamic + 中卦-dynamic,how_many many how_much most more how even very,掌舵(steer) 懶惰(lazy) 多少(how many) 多少(how much) 許多(many) 更多(more) 最多(most) 掠奪(raven) 耳朵(ear) 雲朵(cloud)
tʰuɔ,tʰ,uɔ,4,乾卦-static,震卦-static,巽卦-static,震卦-static + 乾卦-static,乾卦-static,震卦-static,giraffe elephant donkey ostrich cow camel rabbit pig,駱駝(camel) 鴕鳥(ostrich) 托盤(tray) 托兒所(nursery)
t͡suɔ,t͡s,uɔ,9,離卦-dynamic,震卦-dynamic,兌卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,work get then sit out make put take,做(do) 製作(make) 坐(sit) 做飯(cook) 工作(work) 昨天(yesterday) 工作(job) 向左(left) 左邊(left)
t͡sʰuɔ,t͡sʰ,uɔ,3,震卦-dynamic,艮卦-dynamic,兌卦-static,震卦-dynamic + 兌卦-static,艮卦-dynamic + 兌卦-static,坤卦-dynamic + 震卦-dynamic,wrong miss illusion what why thing regret just,錯過(miss) 錯誤(wrong) 錯覺(illusion)
xuɔ,x,uɔ,16,兌卦-dynamic,震卦-dynamic,坤卦-dynamic,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic + 震卦-dynamic,兌卦-dynamic,moon planet torch firefly train plane sky meteor,活(live) 收獲(reap) 活(alive) 火烈鳥(flamingo) 螢火蟲(firefly) 火龍果(dragon fruit) 生活(life) 火(fire) 火山(volcano) 火車(train) 火炬(torch) 貨車司機(lorry driver)
ɻuɔ,ɻ,uɔ,1,坤卦-dynamic,巽卦-static,坤卦-static,坤卦-dynamic + 巽卦-static,坤卦-dynamic + 震卦-static,坤卦-dynamic,weak bad stable strong poor dumb slow soft,弱(weak)
ʂuɔ,ʂ,uɔ,1,兌卦-dynamic,震卦-dynamic,艮卦-dynamic,中卦-static + 兌卦-dynamic,兌卦-dynamic,震卦-dynamic + 兌卦-dynamic,say know tell think argue guess believe why,說(say)
ʈ͡ʂuɔ,ʈ͡ʂ,uɔ,5,坤卦-dynamic,艮卦-dynamic,兌卦-static,坤卦-dynamic + 艮卦-dynamic,艮卦-dynamic + 兌卦-static,坤卦-dynamic + 兌卦-static,dragonfly flamingo catch arrow draw bird frog spot,捕捉(catch) 渾濁(turbid) 啄木鳥(woodpecker) 桌子(table) 手鐲(bracelet)
uɔ,∅,uɔ,7,乾卦-static,坤卦-dynamic,艮卦-dynamic,乾卦-static,艮卦-dynamic + 乾卦-static,坤卦-dynamic + 乾卦-static,I it we so go if do millipede,我(I) 我們(we) 蝸牛(snail) 萵苣(lettuce) 腋窩(armpit) 漩渦(whirlpool) 臥室(bedroom)
kuən,k,uən,3,艮卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic + 巽卦-dynamic,艮卦-dynamic,roll stick rock shake break rubber grind bend,滾動(roll) 棍子(stick) 搖滾(rock)
kʰuən,kʰ,uən,2,坤卦-dynamic,乾卦-dynamic,巽卦-static,坤卦-dynamic,坤卦-dynamic + 乾卦-static,坤卦-dynamic + 乾卦-dynamic,insect sleepy mosquito cicada caterpillar millipede worm bee,困(sleepy) 昆蟲(insect)
luən,l,uən,5,艮卦-dynamic,震卦-dynamic,震卦-static,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic,中卦-dynamic + 震卦-dynamic,theory paradox wheel myth what gravity tire problem,討論(discuss) 車輪(wheel) 輪胎(tire) 理論(theory) 悖論(paradox)
tuən,t,uən,4,震卦-static,艮卦-static,兌卦-static,中卦-static + 震卦-static,震卦-static + 兌卦-static,震卦-static,blunt stab axe spear knife weapon grenade sword,蹲(squat) 燉(stew) 鈍(blunt) 盾(shield)
tʰuən,tʰ,uən,3,兌卦-dynamic,艮卦-dynamic,離卦-dynamic,兌卦-static + 兌卦-dynamic,艮卦-dynamic + 兌卦-static,艮卦-dynamic + 兌卦-dynamic,dolphin swallow whale shark flamingo clam frog parrot,吞下(swallow) 海豚(dolphin) 臀(hip)
t͡suən,t͡s,uən,1,震卦-static,離卦-static,艮卦-static,震卦-static + 離卦-static,震卦-static + 兌卦-dynamic,震卦-static + 離卦-dynamic,respect equal value responsibility owe meaning praise preference,尊重(respect)
t͡sʰuən,t͡sʰ,uən,2,坎卦-static,乾卦-static,離卦-static,坎卦-static + 乾卦-static,坎卦-static,坎卦-static + 離卦-static,village store town shop city station hotel house,儲存(store) 村莊(village)
xuən,x,uən,7,艮卦-dynamic,乾卦-dynamic,中卦-dynamic,艮卦-dynamic + 乾卦-dynamic,艮卦-dynamic + 中卦-dynamic,巽卦-dynamic + 乾卦-dynamic,wedding divorce marry chaos chaotic phase blues tumultuous,結婚(marry) 婚禮(wedding) 離婚(divorce) 混合(mix) 渾濁(turbid) 混亂(chaos) 黃昏(dusk)
ʂuən,ʂ,uən,2,艮卦-dynamic,中卦-dynamic,坎卦-dynamic,艮卦-dynamic + 中卦-dynamic,中卦-dynamic + 兌卦-dynamic,巽卦-dynamic + 中卦-dynamic,sequence suck swallow repeat hell slide compare spit,吮吸(suck) 順序(sequence)
ʈ͡ʂuən,ʈ͡ʂ,uən,3,震卦-dynamic,離卦-dynamic,兌卦-dynamic,坤卦-dynamic + 震卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-static + 震卦-dynamic,ready prepare complete order serve advance necessary provide,準備(prepare) 準備好(ready) 標準(standard)
ʈ͡ʂʰuən,ʈ͡ʂʰ,uən,3,兌卦-static,艮卦-static,艮卦-dynamic,艮卦-dynamic + 兌卦-static,兌卦-static,艮卦-static + 兌卦-static,lip spring stupid drip stem petal cool sad,愚蠢(stupid) 唇(lip) 春天(spring)
uən,∅,uən,12,坤卦-dynamic,坎卦-dynamic,震卦-static,坤卦-dynamic + 坎卦-dynamic,坤卦-dynamic + 巽卦-dynamic,坤卦-dynamic + 離卦-dynamic,smell matter thing call touch word language name,聞(smell) 問(ask) 親吻(kiss) 溫(warm) 穩定(stable) 蚊子(mosquito) 文件(file) 條紋(stripe) 問題(problem) 文學(literature) 文化(culture) 顧問(consultant)
ly,l,y,12,坤卦-dynamic,震卦-static,坎卦-static,坤卦-dynamic + 震卦-static,坤卦-dynamic + 坎卦-dynamic,坤卦-dynamic + 坎卦-static,word language speed rhythm direction frequency path melody,考慮(consider) 旅行(travel) 過濾(filter) 綠色(green) 驢(donkey) 棕櫚樹(palm tree) 旋律(melody) 韻律(rhythm) 法律(law) 律師(lawyer) 頻率(frequency) 速率(speed)
ny,n,y,9,巽卦-static,離卦-dynamic,坎卦-static,巽卦-static,巽卦-static + 離卦-dynamic,坎卦-static + 巽卦-static,daughter niece sister nephew granddaughter stepdaughter aunt mother,女人(woman) 女孩(girl) 女兒(daughter) 孫女(granddaughter) 女婿(son-in-law) 繼女(stepdaughter) 侄女(niece) 仙女(fairy) 女王(queen)
t͡ɕy,t͡ɕ,y,44,震卦-dynamic,艮卦-dynamic,震卦-static,坎卦-static + 震卦-dynamic,震卦-static + 震卦-dynamic,艮卦-dynamic + 震卦-static,train_driver bus_driver bus lorry_driver bicycle train car wheel,舉(lift) 咀嚼(chew) 拒絕(refuse) 橘子(orange) 萵苣(lettuce) 雛菊(daisy) 雛菊(daisy) 菊花(chrysanthemum) 萬壽菊(marigold) 洋甘菊(chamomile) 山毛櫸(beech) 颶風(hurricane)
t͡ɕʰy,t͡ɕʰ,y,11,艮卦-dynamic,震卦-dynamic,離卦-dynamic,震卦-dynamic + 離卦-dynamic,艮卦-dynamic + 離卦-dynamic,艮卦-dynamic + 震卦-dynamic,take make get decide want try choose merry_go_round,去(go) 拿取(take) 失去(lose) 去除(remove) 彎曲(bend) 賺取(earn) 彎曲(curved) 有趣(interesting) 曲奇餅(cookie) 過去(past) 區(district)
ɕy,ɕ,y,14,離卦-dynamic,兌卦-dynamic,震卦-dynamic,離卦-dynamic,震卦-dynamic + 離卦-dynamic,離卦-dynamic + 兌卦-dynamic,make need choose can want must decide take,繼續(continue) 需(need) 允許(allow) 虛假(False) 許多(many) 女婿(son-in-law) 胡須(beard) 程序(program) 体恤衫(T-shirt) 順序(sequence) 秩序(order) 程序員(programmer)
y,∅,y,33,坤卦-dynamic,艮卦-static,兌卦-dynamic,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic,frog sea_anemone snake parrot bird dolphin cormorant whale,沐浴(bathe) 淋浴(shower) 低語(whisper) 養育(rear) 汙染(pollute) 預測(predict) 愚蠢(stupid) 禁欲(ascetic) 鱷魚(crocodile) 魚(fish) 鯊魚(shark) 章魚(octopus)
t͡ɕyn,t͡ɕ,yn,3,乾卦-static,坤卦-static,坎卦-static,艮卦-static + 乾卦-static,乾卦-static,中卦-static + 乾卦-static,population average bacteria soldier army ant student small,細菌(bacteria) 平均(average) 軍隊(army)
t͡ɕʰyn,t͡ɕʰ,yn,3,艮卦-dynamic,艮卦-static,中卦-static,艮卦-dynamic + 中卦-static,艮卦-static + 中卦-static,坎卦-dynamic + 中卦-static,dress skirt shirt veil sweater pants waist wear,人群(crowd) 裙子(dress) 短裙(skirt)
ɕyn,ɕ,yn,5,離卦-dynamic,震卦-dynamic,兌卦-dynamic,震卦-dynamic + 離卦-dynamic,離卦-dynamic,震卦-dynamic,grandson granddaughter daughter niece nephew grandmother sister-in-law sister,尋找(look for) 訓練(train) 孫子(grandson) 孫女(granddaughter) 薰衣草(lavender)
yn,∅,yn,11,艮卦-dynamic,震卦-dynamic,坤卦-dynamic,坤卦-dynamic + 艮卦-dynamic,坤卦-dynamic + 震卦-dynamic,艮卦-dynamic,dream plane race gravity luck rhythm fog brain,允許(allow) 暈眩(dizzy) 懷孕(pregnant) 雲朵(cloud) 運輸(transportation) 韻律(rhythm) 韻(rhyme) 運動(sport) 運氣(luck) 命運(fate) 星雲(nebula)
lyœ,l,yœ,2,艮卦-dynamic,兌卦-dynamic,坤卦-dynamic,坤卦-dynamic + 艮卦-dynamic,艮卦-dynamic + 巽卦-static,艮卦-dynamic + 中卦-static,raven ignore wolf crow fox parrot shadow hide,忽略(ignore) 掠奪(raven)
t͡ɕyœ,t͡ɕ,yœ,11,艮卦-dynamic,震卦-dynamic,離卦-dynamic,艮卦-dynamic + 離卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-static,toe heel ankle bend knee leg foot feel,決定(decide) 感覺(feel) 挖掘(dig) 拒絕(refuse) 腳(foot) 腳後跟(heel) 腳踝(ankle) 腳趾(toe) 爵士樂(jazz) 錯覺(illusion) 腳本(script)
t͡ɕʰyœ,t͡ɕʰ,yœ,4,坤卦-dynamic,中卦-static,中卦-dynamic,坤卦-dynamic + 中卦-static,坤卦-dynamic,中卦-static,sparrow correct magpie precise bird crow hedgehog parrot,精確(precise) 正確(correct) 麻雀(sparrow) 喜鵲(magpie)
ɕyœ,ɕ,yœ,15,艮卦-dynamic,震卦-static,中卦-dynamic,艮卦-dynamic + 中卦-dynamic,艮卦-dynamic + 震卦-static,中卦-dynamic + 震卦-static,science literature study mathematics history biology physics baseball,學習(learn) 雪松(cedar) 血液(blood) 血管(vein) 雪(snow) 雪崩(avalanche) 暴風雪(snowstorm) 靴子(boot) 科學(science) 文學(literature) 數學(mathematics) 化學(chemistry)
yœ,∅,yœ,28,乾卦-dynamic,離卦-dynamic,坤卦-dynamic,離卦-dynamic + 乾卦-dynamic,乾卦-dynamic,震卦-dynamic + 乾卦-dynamic,november december february july october september june january,約束(restrain) 嶽父(father-in-law) 嶽母(mother-in-law) 可樂(coke) 月亮(moon) 月(month) 一月(january) 二月(february) 三月(march) 四月(april) 五月(may) 六月(june)
t͡ɕyɛn,t͡ɕ,yɛn,4,兌卦-dynamic,坎卦-dynamic,離卦-dynamic,兌卦-dynamic + 乾卦-static,坎卦-dynamic + 兌卦-dynamic,離卦-dynamic + 乾卦-static,cabbage broccoli eggplant cauliflower watermelon donate tornado tomato,捐贈(donate) 卷心菜(cabbage) 杜鵑(azelea) 龍卷風(tornado)
t͡ɕʰyɛn,t͡ɕʰ,yɛn,6,坎卦-static,坤卦-dynamic,坤卦-static,坤卦-dynamic + 坎卦-static,坤卦-static + 坎卦-static,坎卦-static + 乾卦-dynamic,sane safe circle place day perfect peace easy,安全(safe) 健全(sane) 全部(all) 油炸圈餅(doughnut) 泉(spring) 圓圈(circle)
ɕyɛn,ɕ,yɛn,8,艮卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-dynamic + 震卦-dynamic,艮卦-dynamic,震卦-dynamic,merry_go_round wait go jump decide repeat begin stop,選擇(choose) 宣布(announce) 暈眩(dizzy) 漩渦(whirlpool) 懸崖(cliff) 旋轉木馬(merry-go-round) 旋律(melody) 選舉(election)
yɛn,∅,yɛn,30,坎卦-static,坤卦-dynamic,艮卦-static,坤卦-dynamic + 坎卦-static,坎卦-static,艮卦-static + 坎卦-static,telescope architect center town village student church teacher,原諒(forgive) 圓(round) 遠(far) 自願(voluntary) 動物園(zoo) 鳶尾(iris) 元素(element) 平原(plain) 花園(garden) 院子(yard) 原因(cause) 圓形劇場(amphitheater)
fɑ,f,ɑ,8,艮卦-dynamic,震卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,court law judge rule plan doctor suit mind,發展(develop) 頭發(hair) 發燒(fever) 魔法(magic) 法律(law) 看法(view) 法庭(court) 法官(judge)
kɑ,k,ɑ,1,兌卦-static,巽卦-dynamic,巽卦-static,兌卦-static,巽卦-dynamic + 兌卦-static,兌卦-static + 兌卦-dynamic,ashamed disgusted pity forgive regret guilty hate blame,尷尬(ashamed)
kʰɑ,kʰ,ɑ,4,震卦-static,坤卦-static,坤卦-dynamic,震卦-static,坤卦-static + 震卦-static,坤卦-dynamic + 震卦-static,coffee ticket wine snack curry food bread card,咖啡(coffee) 咖喱(curry) 卡車(truck) 卡片(card)
lɑ,l,ɑ,9,兌卦-dynamic,坎卦-dynamic,巽卦-dynamic,兌卦-dynamic,坎卦-dynamic + 兌卦-dynamic,坤卦-static + 兌卦-dynamic,chili mozzarella parmesan pickle onion soup pepper cheese,拉(pull) 辣(spicy) 馬蘇裏拉奶酪(mozzarella) 辣椒(chili) 蠟(wax) 垃圾(garbage) 垃圾箱(dustbin) 蠟燭(candle) 喇叭(trumpet)
mɑ,m,ɑ,13,艮卦-dynamic,震卦-dynamic,兌卦-dynamic,艮卦-dynamic,艮卦-dynamic + 震卦-dynamic,震卦-dynamic,ostrich rabbit goat zebra giraffe frog tortoise donkey,罵(scold) 後媽(stepmother) 姨媽(aunt) 馬(horse) 斑馬(zebra) 麻雀(sparrow) 海馬(seahorse) 螞蟻(ant) 馬蘇裏拉奶酪(mozzarella) 帕爾瑪幹酪(parmesan) 亞麻布(linen) 旋轉木馬(merry-go-round)
nɑ,n,ɑ,7,離卦-dynamic,坎卦-dynamic,坎卦-static,坤卦-static + 離卦-dynamic,離卦-dynamic + 乾卦-static,中卦-dynamic + 離卦-dynamic,where that there which even what only one,拿取(take) 容納(contain) 那個(that) 那裏(there) 哪裏(where) 哪一個(which) 出納員(cashier)
pɑ,p,ɑ,8,艮卦-static,坤卦-dynamic,坎卦-static,坤卦-dynamic + 艮卦-static,艮卦-static,艮卦-static + 兌卦-static,chin nose head neck jaw tail throat leg,結巴(stutter) 八(eight) 尾巴(tail) 下巴(chin) 傷疤(scar) 八月(august) 喇叭(trumpet) 酒吧(pub)
pʰɑ,pʰ,ɑ,5,巽卦-dynamic,艮卦-dynamic,兌卦-dynamic,艮卦-dynamic + 巽卦-dynamic,巽卦-dynamic,巽卦-dynamic + 兌卦-dynamic,bite eat reptile chew crawl guts squirrel crow,怕(fear) 爬行(crawl) 爬蟲(reptile) 帕爾瑪幹酪(parmesan) 耙(rake)
sɑ,s,ɑ,2,兌卦-static,離卦-static,震卦-dynamic,震卦-dynamic + 兌卦-static,震卦-dynamic + 離卦-static,離卦-static + 兌卦-static,cello saxophone lie violin piano flute guitar deceive,撒謊(lie) 薩克斯管(saxophone)
tɑ,t,ɑ,25,兌卦-dynamic,艮卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,艮卦-static + 兌卦-dynamic,震卦-static + 兌卦-dynamic,sneeze scream jump blow hit explode swallow crow,答(answer) 打(hit) 打噴嚏(sneeze) 打哈欠(yawn) 打開(open) 打破(break) 打架(fight) 打獵(hunt) 打掃(sweep) 打鳴(crow) 打印(print) 大(big)
tʰɑ,tʰ,ɑ,11,震卦-dynamic,艮卦-static,坤卦-dynamic,坤卦-dynamic + 震卦-dynamic,坤卦-dynamic + 艮卦-static,坤卦-static + 震卦-dynamic,he that if but when she it even,到達(arrive) 他(he) 她(she) 它(it) 他們(they) 其他(other) 獺(otter) 吉他(guitar) 塔(tower) 燈塔(lighthouse) 金字塔(pyramid)
